mauve,pale purple,,
maximum,biggest possible size,,
mail,the way of sending and receiving letters,,
messenger,a person who brings a message,,
mercy,being kind,,
maintenance,keeping something in good condition,,
misery,a great unhappiness,,
monotonous,always the same; boring,,
mud,"soft wet earth	",,
moss,a soft green plant that grows like a carpet on trees,,
method,a way of doing something    ,,
droop,bend or hang downwards,,
dutiful,happy to respect and obey sb,,
disparage,to talk about sb/sth in a critical way,,
daffodil,a tall yellow flower that grows in spring,,
decay,the process of being slowly destroyed,,
debtor,the person who owes money,,
digit,any of the numbers from 0-9,,
divine,connected with god,,
drab,not interesting or attractive,,
dispirited,having lost confidence    ,,
toot,the short high sound that a car horn makes,,
trapdoor,a small door in a floor or a ceiling,,
tenacious,not likely to give up; determined,,
taut,stretched very tight,,
tepid,only slightly warm,,
throng,a large crowd of people,,
timely,happening exactly at the right time,,
twig,a small thin branch on a tree,,
thence,from there (old fasioned),,
torrent,"a strong fast flow of something  	",,
brackish,salty,,
bias,influence in an unfair way,,
banter,converse in playful or teasing way,,
bolster,support; strengthen,,
backlog,a build up of work, an accumulation or reserve,
benign,kindly; good natured,,
bizzare,very strange; unusual; odd,,
buoyant,able to float cheerful,,
breach,break a rule or agreement,,
bypass,"to provide an alternative way around   	",,
haggle,to bargain on a price,,
hamper,to stop or slow down sth,,
heave,to lift something heavy,,
hide,to conceal something,,
hoist,to raise or lift,,
hone,to make something more effective,,
hunt,to look for a chase,,
hynotize,to put in trance,,
hurtle,"to move very quickly   	",,
oblige,to compel, force,
opt,to make a decision or choice,,
orientate,to adjust to a situation,,
oust,to get rid of sb or sth,,
overcome,to prevail in spite of adversity,,
owe,to have a debt to pay,,
outsource,to obtain goods or services from a foreign supplier,,
often,happening frequently,,
ocean,the largest bodies of water on Earth,,
octagon,"an eight-sided shape  	",,
wait,to pause,,
waive,to give up your right to something,,
warn,to caution against danger,,
wipe,to pass over with a cloth,,
wage,to engage in or carry on,,
warp,to send forth; to throw,,
wobble,to move in an unsteady way,,
win,to be the most sucessful at sth,,
withstand,"to endure   	",,
abide,to bear patienly,,
abstract,to summarize; to epitomize,,
access,gain, obtain,
accord,to be in agreement, harmony or unity,
accrue,to increase; to accumulate,,
aced,to get the better of,,
adorn,to make sth more beautiful; to decorate,,
affiliate,to trace origin to; to accept as a member,,
allay,to calm, alleviate or relieve,
augment,"to grow in size; intensify  	",,
curious,eager to learn or know,,
crucial,extremely important or significant,,
copious,plentiful; abundant; fruitful,,
concise,brief and to the point,,
cheerful,joyful, happy,
cagey,very clever or careful,,
charismatic,possessing an extraordinary ability to attract; magnet,,
chiseled,having a distinct and clean outline,,
civil,adequate in courtesy and politeness,,
colossal,"huge; of enormous size   	",,
xanthic,having a yellow color,,
xesturgy,polished object,,
xper,programmer; coder,,
xylophone,a musical instrument, normally with wooden bars,
xenial,friendly relationship b/w the host and guests,,
xeric,being deficient in moisture,,
xebec,a small ship, quite similar to a sailboat,
xerox,copy of a document,,
xystus,"a garden walk or terrace	",,
jazz,informally, to make sth fancier,
jubiliant,happy and triumphant,,
juggle,to do several things simultaneously,,
junket,an extrvagant trip or party,,
